Country_Name,Region,Image_URL,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,Oceania,https://public.flourish.studio/country-flags/svg/au.svg,AUS,18.606786874,19.683055213,19.922723709,21.539926084,23.801097547,25.977153097,27.309889125,30.444618658,32.716989584,36.686079068,41.337215814,45.222309329,52.051401869,63.844971172,88.981577008,97.333060221,105.101,110.388,118.536,134.941,150.032,176.953,194.105,177.334,193.594,180.574,182.368,189.4,236.066,299.768,311.327,325.903,325.48,312.126,322.807,367.916,401.09,435.324,399.404,389.099,415.576,379.084,395.343,467.391,614.166,695.075,747.556,853.955,1055.13,928.043,1147.59,1397.91,1546.51,1576.34,1467.5,1350.53,1206.69,1326.88,1428.53,1391.95,1327.84
Austria,Europe,https://public.flourish.studio/country-flags/svg/at.svg,AUT,6.592693841,7.311749633,7.75611021,8.374175258,9.169983886,9.994070616,10.887682273,11.579431669,12.440625313,13.582798556,15.373005557,17.858486067,22.059612477,29.515467707,35.189299912,40.059206763,42.959976222,51.545758888,62.052259073,73.937296963,82.058912997,71.034228443,71.27528757,72.121016547,67.985344887,69.386774408,99.036164939,124.168,133.339,133.106,166.463,173.794,195.078,190.38,203.535,241.038,237.251,212.79,218.26,217.186,196.8,197.338,213.378,261.696,300.904,315.974,335.999,388.691,430.294,400.172,391.893,431.12,409.425,430.069,441.996,381.818,395.569,416.23,454.946,445.012,433.258
Azerbaijan,Asia,https://public.flourish.studio/country-flags/svg/az.svg,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4463055556,1.57,1.193312102,2.41735584,3.176333837,3.962238113,4.446368571,4.581432039,5.272798391,5.707720391,6.23585682,7.276753895,8.680370408,13.245716099,20.982986344,33.050343783,48.85248296,44.291490421,52.909294792,65.9516272,69.683935845,74.164435946,75.244294275,53.074370486,37.867518957,40.865558912,47.112941176,48.174235294,42.607176471
"Bahamas, The",Americas,https://public.flourish.studio/country-flags/svg/bs.svg,BHS,0.1698039216,0.19009803919999999,0.212254902,0.237745098,0.2666666667,0.3003921569,0.34,0.3901960784,0.4449019608,0.5281372549,0.5384231537,0.5734,0.5909,0.6709,0.6324,0.5962,0.6421,0.713,0.8324,1.1398001,1.3353,1.4265,1.5783,1.7328,2.0411,2.3206999,2.4725,2.7139999,2.8179,3.062,3.166,3.11116,3.109,3.092,3.259,3.429,3.609,6.33236,6.83322,7.68387,8.07647,8.31783,8.88116,8.87009,9.05529,9.8362,10.16725,10.61834,10.526,9.98196,10.09576,10.07045,10.7205,10.4946,11.1429,11.8906,11.9926,12.3597,12.8378,13.1644,9.9075
Bahrain,Asia,https://public.flourish.studio/country-flags/svg/bh.svg,BHR,,,,,,,,,,,,,,,,,,,,,3.072698328,3.467819149,3.645744681,3.735106383,3.905585106,3.651861702,3.052393617,3.392021011,3.702393617,3.86356383,4.229787234,4.616223404,4.75106383,5.200265957,5.567553457,5.849467819,6.101861436,6.349202394,6.183776596,6.621010372,9.062898936,8.976196809,9.593510638,11.07481383,13.150159574,15.968723404,18.504760638,21.73,25.710904255,22.938218085,25.713271277,28.776595745,30.749308511,32.539468085,33.387712766,31.050638298,32.234973404,35.473776596,37.801462766,38.652579787,34.729228723
Bangladesh,Asia,https://public.flourish.studio/country-flags/svg/bd.svg,BGD,4.274893913,4.817580184,5.08141334,5.319458351,5.386054619,5.906636557,6.439687598,7.253575399,7.483685474,8.471006101,8.992721809,8.75184284,6.288245867,8.086725729,12.51246052,19.448348073,10.117113333,9.651149302,13.281767143,15.565480322,18.138049096,20.249694002,18.525399202,17.609048822,18.92084,22.278423077,21.774033333,24.298032258,26.57900576,28.781714764,31.598341234,30.95748395,31.708874594,33.166519418,33.768660883,37.939748769,46.438484108,48.244309133,49.984559471,51.270569884,53.369787319,53.991289844,54.724081491,60.158929188,65.10854425,69.442943089,71.819083684,79.611888213,91.631278239,102.478,115.279,128.638,133.356,149.99,172.885,195.079,221.415,249.711,274.039,302.571,323.057
Barbados,Americas,https://public.flourish.studio/country-flags/svg/bb.svg,BRB,,,,,,,,,,,,,,,0.3118093375,0.402178605,0.4359112686,0.4950976679,0.5528837071,0.6703624521,1.012280615,1.114204743,1.16392383,1.236016507,1.346890071,1.409536121,1.547755183,1.704370308,1.812757918,2.006165167,2.012131457,2.020583702,1.957,2.063342117,2.151344901,2.216974096,2.363645403,2.49838413,2.817083478,2.951822205,3.0595,3.0545,3.1065,3.2095,3.4445,3.8195,4.2175,4.674,4.785,4.4655,4.53,4.6575,4.61,4.677,4.6965,4.715,4.83,4.978,5.0865,5.209,4.418
Belarus,Europe,https://public.flourish.studio/country-flags/svg/by.svg,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.65,,,,17.793,13.489222222,14.756846154,14.108846154,15.264369565,12.15286747,12.738912134,12.354820144,14.594249023,17.827791321,23.144351852,30.207567317,36.954312354,45.277399814,60.763483146,50.874078052,57.222490769,61.757788945,65.685102555,75.527984234,78.813839984,56.454734397,47.722657821,54.726595249,60.031262269,64.409647194,60.258239056
Belgium,Europe,https://public.flourish.studio/country-flags/svg/be.svg,BEL,11.658722591,12.400145222,13.264015675,14.260017387,15.960106681,17.371457608,18.651883472,19.992040788,21.376353113,23.710735895,26.706196047,29.82166187,37.209418019,47.74380149,56.033077879,65.678189097,71.113882968,82.839905459,101.247,116.315,126.829,104.73,92.095926188,87.184239053,83.349530159,86.268264148,120.019,149.394,162.299,164.221,205.332,210.511,234.782,224.722,244.884,288.026,279.201,252.708,258.528,258.159,236.205,236.541,257.158,317.382,368.537,385.571,407.918,470.324,515.224,481.346,480.952,522.646,496.181,521.643,534.678,462.15,475.74,501.523,543.008,535.289,521.861
Belize,Americas,https://public.flourish.studio/country-flags/svg/bz.svg,BLZ,0.028071888559999997,0.02996437071,0.03185692286,0.03374940501,0.036193826119999994,0.04006993007,0.04440559441,0.04737931034,0.04491017964,0.04730538922,0.05323353293,0.05920731707,0.0660625,0.07834355828,0.1032163743,0.1180662983,0.09690582959999999,0.11765,0.1363,0.1518,0.1979382224,0.19608985469999998,0.182206327,0.192103186,0.214381949,0.2126437427,0.2316383205,0.28108255860000003,0.3200933603,0.36913389069999997,0.4120864455,0.44472075,0.5185597,0.5602053,0.58126955,0.6204225,0.64166,0.6545829,0.68914,0.73273235,0.83207245,0.86835875,0.92519795,0.9835756,1.0513866,1.1025649,1.21060375,1.27159805,1.35133865,1.31730945,1.3771771,1.460797903,1.522897506,1.579411253,1.667335061,1.721700991,1.789304088,1.858529677,1.915899787,1.982518541,1.636280797
